"station_id","station_name","latitude","longitude","elevation","tz"
40637,"MULE MOUNTAIN",40.56917,-122.50306,2044,"America/Los_Angeles"
15201,"GROVE HILL",31.69069,-87.76058,445,"America/Chicago"
352550,"HIGH POINT",43.90639,-123.37956,1935,"America/Los_Angeles"
313904,"TOW STRING",35.54979,-83.29408,2994,"America/New_York"
162401,"EVANGELINE",31.185,-92.63139,185,"America/Chicago"
225502,"COPIAH",31.94972,-90.38056,150,"America/Chicago"
82001,"WILMA",30.18278,-84.94028,65,"America/New_York"
165102,"SABINE",29.88889,-93.40278,6,"America/Chicago"
225101,"BIENVILLE",32.315,-89.48944,470,"America/Chicago"
353041,"SILVER BUTTE",42.85881,-123.37844,3973,"America/Los_Angeles"
416101,"SOUTHERN ROUGH",30.54472,-94.34611,100,"America/Chicago"
42608,"HELL HOLE",39.06971,-120.41989,5240,"America/Los_Angeles"
315602,"TUSQUITEE",35.07653,-84.12703,1829,"America/New_York"
10990,"LIRI",34.46043,-85.59725,1374,"America/Chicago"
226502,"COVINGTON",31.74972,-89.51639,290,"America/Chicago"
319604,"CEDAR ISLAND",34.95639,-76.27833,3,"America/New_York"
41908,"SEEDORCHARD",39.09159,-120.73198,4355,"America/Los_Angeles"
415201,"DAYTON",30.105,-94.93139,100,"America/Chicago"
416099,"ANAHUAC",29.66917,-94.43833,5,"America/Chicago"
41701,"PIKE COUNTY LOOKOUT",39.47469,-121.20241,3701,"America/Los_Angeles"
220601,"TISHOMINGO",34.7775,-88.16528,300,"America/Chicago"
496024,"KEALAKOMO #2",19.29278,-155.1075,97,"Pacific/Honolulu"
11401,"ONEONTA",33.93875,-86.38917,1104,"America/Chicago"
346303,"KIAMICHI",34.77556,-94.89778,2392,"America/Chicago"
222101,"YALLABUSHA",33.98583,-89.79667,370,"America/Chicago"
80802,"BLOXHAM",30.35833,-84.61139,125,"America/New_York"
405001,"CROSSVILLE",36.07444,-84.96361,1635,"America/Chicago"
319507,"HOFMANN FOREST",34.82499,-77.32307,42,"America/New_York"
223701,"TOMBIGBEE",33.28056,-89.13889,550,"America/Chicago"
225301,"LAUDERDALE",32.3675,-88.45667,221,"America/Chicago"
86401,"OASIS",25.86039,-81.033,8,"America/New_York"
221502,"HIGHWAY 41",34.09028,-88.86472,320,"America/Chicago"
352557,"FIELDS",43.68053,-122.30203,3373,"America/Los_Angeles"
400801,"PICKETT STATE FOREST",36.535,-84.81,1720,"America/Chicago"
86406,"PANTHER WEST",26.17167,-81.47889,15,"America/New_York"
319505,"SANDY RUN",34.61194,-77.4875,71,"America/New_York"
161803,"NATCHITOCHES",31.49139,-93.19222,200,"America/Chicago"
162502,"CATAHOULA",31.50222,-92.46167,230,"America/Chicago"
224601,"NESHOBA",32.79806,-89.12472,459,"America/Chicago"
406401,"MERIWETHER LEWIS",35.5025,-87.45806,920,"America/Chicago"
86704,"CHEKIKA",25.625,-80.57972,5,"America/New_York"
408302,"SHILOH NMP",35.155,-88.32167,420,"America/Chicago"
319402,"BACK ISLAND",34.5328,-77.7219,29,"America/New_York"
91101,"DAWSONVILLE",34.37639,-84.06,1270,"America/New_York"
82203,"ST. MARKS (WEST)",30.01056,-84.42444,50,"America/New_York"
406601,"LEWISBURG TOWER",35.38167,-86.76583,1150,"America/Chicago"
34702,"ODEN",34.62417,-93.80611,896,"America/Chicago"
86403,"OCHOPEE RAWS",25.89869,-81.31978,7,"America/New_York"
224101,"NOXUBEE - FTS",33.26611,-88.79333,250,"America/Chicago"
413701,"SABINE SOUTH",31.43836,-93.76603,145,"America/Chicago"
408901,"ARNOLD AIR FORCE BASE",35.32133,-86.03383,995,"America/Chicago"
414402,"WOODVILLE",30.73694,-94.4325,264,"America/Chicago"
319803,"SUNNY POINT",34.00377,-77.99766,30,"America/New_York"
223501,"HOLMES",33.22111,-90.19833,22,"America/Chicago"
86405,"PANTHER EAST",26.16861,-81.36444,15,"America/New_York"
12801,"SCHOOLHOUSE",33.16397,-86.09103,932,"America/Chicago"
42012,"OAK RIDGE",38.73806,-123.30839,1890,"America/Los_Angeles"
222401,"MONROE",33.79389,-88.34667,354,"America/Chicago"
220202,"WINBORN",34.69817,-89.30406,500,"America/Chicago"
313903,"COW MOUNTAIN",35.48131,-83.32239,2390,"America/New_York"
40246,"DUTCH-INDY",41.64353,-123.44407,2296,"America/Los_Angeles"
32001,"DEVILS KNOB",35.61407,-93.5388,2100,"America/Chicago"
361291,"QUARRY TRAIL",40.13111,-79.21611,2740,"America/New_York"
161902,"GUM SPRINGS",31.89878,-92.78293,300,"America/Chicago"
405101,"LENOIR CITY",35.84417,-84.33167,1240,"America/New_York"
40231,"SOMES BAR",41.39007,-123.49267,915,"America/Los_Angeles"
12902,"SHOAL CREEK",33.64722,-85.63444,908,"America/Chicago"
400902,"BISO-NP",36.475,-84.65417,1445,"America/New_York"
319802,"NATURE CONSERVANCY",34.09001,-78.30801,60,"America/New_York"
10402,"BROWNSBORO",34.74067,-86.43503,663,"America/Chicago"
